league,season,team,player,nacion,posicion,edad,partidos,minutos,noventas,goles,asistencias,goles_sin_pen,amarillas,rojas,goles_90,asist_90,tiros,tiros_arco,faltas_com,faltas_rec,intercep,tackles_ganados
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25,6,540,6.0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0
ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,25,37,2988,33.2,4,4,4,8,0,0.12,0.12,13,8,19,12,30,28
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,21,35,2919,32.4,16,9,10,4,0,0.49,0.28,107,37,41,69,16,37
ENG-Premier League,2324,Arsenal,Cédric Soares,POR,"DF,MF",31,3,62,0.7,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,27,32,2880,32.0,0,0,0,2,0,0.0,0.0,0,0,0,4,0,1
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,24,38,3225,35.8,7,8,7,5,0,0.2,0.22,58,20,34,14,44,50
ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24,27,1082,12.0,5,2,5,3,0,0.42,0.17,38,12,24,28,4,7
ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23,13,353,3.9,0,1,0,0,0,0.0,0.25,15,7,5,2,3,1
ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,MF,16,1,14,0.2,0,0,0,0,0,0.0,0.0,0,0,1,1,0,0
ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,MF,23,11,297,3.3,1,2,0,0,1,0.3,0.61,7,2,8,10,2,2
ENG-Premier League,2324,Arsenal,Gabriel Jesus,BRA,FW,26,27,1478,16.4,4,5,4,6,0,0.24,0.3,55,19,26,32,13,17
ENG-Premier League,2324,Arsenal,Gabriel Magalhães,BRA,DF,25,36,3044,33.8,4,0,4,4,0,0.12,0.0,31,10,35,33,29,29
ENG-Premier League,2324,Arsenal,Gabriel Martinelli,BRA,FW,22,35,2019,22.4,6,4,6,1,0,0.27,0.18,58,22,23,24,4,23
ENG-Premier League,2324,Arsenal,Jakub Kiwior,POL,DF,23,20,946,10.5,1,3,1,1,0,0.1,0.29,6,3,10,3,7,13
ENG-Premier League,2324,Arsenal,Jorginho,ITA,MF,31,24,921,10.2,0,2,0,1,0,0.0,0.2,4,0,9,15,11,10
ENG-Premier League,2324,Arsenal,Jurriën Timber,NED,DF,22,2,71,0.8,0,0,0,2,0,0.0,0.0,0,0,3,0,0,2
ENG-Premier League,2324,Arsenal,Kai Havertz,GER,"MF,FW",24,37,2634,29.3,13,7,12,11,0,0.44,0.24,69,28,49,44,18,17
ENG-Premier League,2324,Arsenal,Leandro Trossard,BEL,"FW,MF",28,34,1649,18.3,12,1,12,2,0,0.65,0.05,60,22,15,20,8,14
ENG-Premier League,2324,Arsenal,Martin Ødegaard,NOR,MF,24,35,3091,34.3,8,10,6,2,0,0.23,0.29,77,23,30,36,14,18
ENG-Premier League,2324,Arsenal,Mohamed Elneny,EGY,MF,31,3,28,0.3,0,0,0,0,0,0.0,0.0,2,1,1,0,1,0
ENG-Premier League,2324,Arsenal,Oleksandr Zinchenko,UKR,DF,26,27,1722,19.1,1,2,1,2,0,0.05,0.1,17,3,7,9,19,30
ENG-Premier League,2324,Arsenal,Reiss Nelson,ENG,FW,23,15,268,3.0,0,0,0,1,0,0.0,0.0,4,1,5,6,1,5
ENG-Premier League,2324,Arsenal,Takehiro Tomiyasu,JPN,DF,24,22,1149,12.8,2,1,2,2,1,0.16,0.08,17,3,14,8,18,8
ENG-Premier League,2324,Arsenal,Thomas Partey,GHA,"MF,DF",30,14,788,8.8,0,0,0,3,0,0.0,0.0,8,2,10,6,10,11
ENG-Premier League,2324,Arsenal,William Saliba,FRA,DF,22,38,3420,38.0,2,1,2,4,0,0.05,0.03,10,4,22,16,29,26
ENG-Premier League,2324,Aston Villa,Bertrand Traoré,BFA,"FW,MF",27,2,11,0.1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
ENG-Premier League,2324,Aston Villa,Boubacar Kamara,FRA,MF,23,20,1652,18.4,0,1,0,7,1,0.0,0.05,5,1,35,29,20,30
ENG-Premier League,2324,Aston Villa,Calum Chambers,ENG,MF,28,5,152,1.7,0,1,0,1,0,0.0,0.59,0,0,3,1,2,0
ENG-Premier League,2324,Aston Villa,Cameron Archer,ENG,"FW,MF",22,1,6,0.1,0,0,0,1,0,0.0,0.0,0,0,1,0,0,0
ENG-Premier League,2324,Aston Villa,Clément Lenglet,FRA,DF,28,14,1153,12.8,0,1,0,3,0,0.0,0.08,7,2,3,12,8,9
ENG-Premier League,2324,Aston Villa,Diego Carlos,BRA,DF,30,27,1816,20.2,0,0,0,4,0,0.0,0.0,10,1,26,4,12,16
ENG-Premier League,2324,Aston Villa,Douglas Luiz,BRA,MF,25,35,2993,33.3,9,5,5,12,0,0.27,0.15,48,17,51,41,22,37
ENG-Premier League,2324,Aston Villa,Emiliano Martínez,ARG,GK,30,34,3015,33.5,0,0,0,4,0,0.0,0.0,0,0,1,7,0,0
ENG-Premier League,2324,Aston Villa,Ezri Konsa,ENG,DF,25,35,3069,34.1,1,0,1,5,0,0.03,0.0,19,5,15,64,26,33
ENG-Premier League,2324,Aston Villa,Finley Munroe,ENG,DF,18,1,4,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Jacob Ramsey,ENG,MF,22,16,853,9.5,1,1,1,2,0,0.11,0.11,19,5,7,12,3,8
ENG-Premier League,2324,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",21,1,4,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,John McGinn,SCO,MF,28,35,2999,33.3,6,4,6,9,1,0.18,0.12,40,16,39,69,20,34
ENG-Premier League,2324,Aston Villa,Jáder Durán,COL,FW,19,23,475,5.3,5,0,5,5,0,0.95,0.0,20,7,12,8,1,5
ENG-Premier League,2324,Aston Villa,Kaine Kesler-Hayden,ENG,"DF,MF",20,3,6,0.1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Leander Dendoncker,BEL,MF,28,8,119,1.3,1,0,1,0,0,0.76,0.0,2,1,1,1,2,4
ENG-Premier League,2324,Aston Villa,Leon Bailey,JAM,MF,25,35,2068,23.0,10,9,10,5,0,0.44,0.39,53,18,26,26,9,8
ENG-Premier League,2324,Aston Villa,Lucas Digne,FRA,DF,30,33,2410,26.8,1,3,1,7,0,0.04,0.11,20,4,30,29,25,21
ENG-Premier League,2324,Aston Villa,Matty Cash,POL,"DF,MF",25,29,2142,23.8,2,2,2,8,0,0.08,0.08,33,13,30,22,18,30
ENG-Premier League,2324,Aston Villa,Morgan Rogers,ENG,MF,21,11,638,7.1,3,1,3,3,0,0.42,0.14,11,5,12,9,3,1
ENG-Premier League,2324,Aston Villa,Moussa Diaby,FRA,"MF,FW",24,38,2174,24.2,6,8,6,1,0,0.25,0.33,54,23,16,15,9,5
ENG-Premier League,2324,Aston Villa,Nicolò Zaniolo,ITA,"MF,FW",24,25,839,9.3,2,0,2,7,0,0.21,0.0,27,10,24,21,1,9
ENG-Premier League,2324,Aston Villa,Ollie Watkins,ENG,FW,27,37,3217,35.7,19,13,19,4,0,0.53,0.36,106,46,22,41,4,7
ENG-Premier League,2324,Aston Villa,Omari Kellyman,ENG,"FW,MF",17,2,37,0.4,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Pau Torres,ESP,DF,26,29,2464,27.4,2,0,2,1,0,0.07,0.0,12,5,17,10,11,16
ENG-Premier League,2324,Aston Villa,Philippe Coutinho,BRA,"FW,MF",31,2,25,0.3,0,0,0,0,0,0.0,0.0,3,1,0,1,0,0
ENG-Premier League,2324,Aston Villa,Robin Olsen,SWE,GK,33,5,405,4.5,0,0,0,0,0,0.0,0.0,0,0,0,2,0,0
