player_modelo,nacion,goles_int,xg_int,remates_int,n_part,score_match,factor_xg
Cody Gakpo,NED,3,0.88,13,6,85.5,0.805
Folarin Balogun,USA,2,0.25,5,3,100.0,0.806
Jamal Musiala,GER,3,0.9,10,5,100.0,0.806
Jefferson Lerma,COL,2,0.33,8,5,85.5,0.816
Mohammed Kudus,GHA,2,0.41,9,2,100.0,0.826
Florian Wirtz,GER,2,0.58,8,5,100.0,0.846
Ademola Lookman,NGA,3,1.32,8,7,100.0,0.848
Daniel Vivian,ESP,3,1.38,17,6,85.5,0.854
Lautaro Martínez,ARG,5,2.89,11,6,95.0,0.858
Jude Bellingham,ENG,3,1.45,7,7,100.0,0.861
Răzvan Marin,ROU,2,0.89,6,4,85.5,0.882
José Cifuentes,ECU,1,0.12,5,4,85.5,0.883
Ronald Araújo,URU,2,0.9,11,6,85.5,0.883
Niclas Füllkrug,GER,2,0.91,9,5,100.0,0.885
Nicolae Stanciu,ROU,1,0.13,5,4,85.5,0.885
Morten Hjulmand,DEN,1,0.14,5,3,100.0,0.887
Nico Williams,ESP,2,0.95,12,6,85.5,0.889
William Troost-Ekong,NGA,4,2.54,6,6,100.0,0.89
Rodri,ESP,1,0.19,5,6,90.0,0.893
Richard Ríos,COL,1,0.23,8,6,90.0,0.899
Hakan Çalhanoğlu,TUR,1,0.27,10,4,100.0,0.904
Fabián Ruiz Peña,ESP,2,1.15,17,6,100.0,0.911
Arda Güler,TUR,1,0.33,9,5,100.0,0.913
Jacob Shaffelburg,CAN,1,0.33,5,6,100.0,0.913
Georges Mikautadze,GEO,3,2.03,6,4,100.0,0.915
Christian Pulisic,USA,1,0.37,7,3,100.0,0.918
Jonathan David,CAN,4,2.9,10,6,100.0,0.918
Jeremy Sarmiento,ECU,1,0.39,6,4,85.5,0.92
Santiago Bueno,URU,3,2.16,17,6,85.5,0.927
Bukayo Saka,ENG,2,1.3,9,7,100.0,0.927
Ferrán Torres,ESP,1,0.49,5,5,90.0,0.934
Jhon Solis,COL,2,1.37,11,6,85.5,0.935
Azzedine Ounahi,MAR,1,0.5,7,4,100.0,0.935
Luis Sinisterra,COL,2,1.43,9,6,85.5,0.941
Xavi Simons,NED,1,0.55,11,6,100.0,0.941
Bernardo Silva,POR,3,2.31,9,4,85.5,0.941
Khvicha Kvaratskhelia,GEO,1,0.55,6,4,100.0,0.942
Julián Álvarez,ARG,3,2.33,10,5,100.0,0.942
Frank Magri,CMR,1,0.56,6,4,100.0,0.943
Lisandro Martínez,ARG,1,0.58,5,5,100.0,0.946
Omar Marmoush,EGY,2,1.48,9,4,100.0,0.947
Mostafa Mohamed,EGY,4,3.29,15,4,90.0,0.948
Mikel Oyarzabal,ESP,1,0.6,6,7,95.0,0.949
Donyell Malen,NED,2,1.51,6,4,100.0,0.95
Sadio Mané,SEN,2,1.54,7,4,100.0,0.953
Breel Embolo,SUI,2,1.57,8,5,85.5,0.956
Marcel Sabitzer,AUT,1,0.67,11,4,100.0,0.957
Roman Yaremchuk,UKR,1,0.66,6,3,100.0,0.957
Julio Enciso,PAR,1,0.66,14,3,85.5,0.957
Ruben Vargas,SUI,1,0.69,5,5,100.0,0.961
Habib Diallo,SEN,2,1.64,5,4,85.5,0.963
İlkay Gündoğan,GER,1,0.75,7,5,100.0,0.968
Moïse Bombito,CAN,2,1.7,5,6,100.0,0.969
Damián Suárez,URU,2,1.73,6,4,85.5,0.973
Karl Etta Eyong,CMR,1,0.81,6,3,85.5,0.975
Christian Nørgaard,DEN,1,0.84,12,4,85.5,0.979
Marcos Dias,BRA,1,0.84,8,4,85.5,0.979
Kevin De Bruyne,BEL,1,0.88,11,4,100.0,0.985
Darwin Núñez,URU,2,1.86,21,6,85.5,0.986
Trent Alexander-Arnold,ENG,1,0.91,5,4,100.0,0.988
Mohamed Abdelmonem,EGY,1,0.95,6,4,100.0,0.993
Manuel Ugarte,URU,1,0.96,5,6,90.0,0.995
Robert Lewandowski,POL,1,0.99,5,2,100.0,0.999
André Onana,CMR,0,0.0,0,1,100.0,1.0
Brenden Aaronson,USA,0,0.0,0,1,100.0,1.0
Brandon Aguilera,CRC,0,0.0,0,3,95.0,1.0
Borna Sosa,CRO,0,0.0,0,1,100.0,1.0
Bertuğ Yıldırım,TUR,0,0.0,0,1,95.0,1.0
Omar Valencia,PAN,0,0.0,0,1,85.5,1.0
Alisson,BRA,0,0.0,0,4,90.0,1.0
Jáder Durán,COL,0,0.0,0,1,90.0,1.0
Jeyland Mitchell,CRC,0,0.0,0,3,85.5,1.0
Jesús Navas,ESP,0,0.0,0,3,90.0,1.0
Péter Gulácsi,HUN,0,0.0,0,3,100.0,1.0
Jacob Bruun Larsen,DEN,0,0.0,0,1,100.0,1.0
Filip Kostić,SRB,0,0.0,0,1,100.0,1.0
Faris Pemi Moumbagna,CMR,0,0.0,0,4,100.0,1.0
Loïs Openda,BEL,0,0.0,0,3,90.0,1.0
Yassine Bounou,MAR,0,0.0,0,4,100.0,1.0
Alan Benítez,PAR,0,0.0,0,3,85.5,1.0
Guillermo Varela,URU,0,0.0,0,2,90.0,1.0
